sampleID,group,type,name,sex,breed,breed_r,sterilized,weight_lbs,bod_cond,donor,donor_r,donorID,response,IBD,antibiotics,vomiting,diarrhea,constipation,symptom,days_since,duration_days,wet_food,raw_food,dry_food,diet_combo,col_date,seq_date,date_of_birth,age_yrs,response2
38L11B,recipient,before,Calisto,Male,Domestic Shorthair,Domestic,Yes,11.5,5,Fabiola,Fabiola,4EXDUK,No Change,Yes,No,No,No,Yes,Constipation,NA,24,No,Yes,No,Raw,6/2/17,5/23/19,8/1/04,12.83,Non-Responder
39W26J,recipient,after,Sula,Female,Domestic Shorthair,Domestic,Yes,12,5,Fabiola,Fabiola,4EXDUK,Slight Improvement,Maybe,Yes,No,No,Yes,Constipation,NA,NA,No,Yes,No,Raw,6/21/17,9/6/19,1/7/04,13.42,Responder
3DJ8YN,healthy,healthy,Vera,Female,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,7/6/20,12/18/20,NA,4.08,NA
3FQYF,recipient,before,Keilana,Female,Bengal,Other,Yes,7,4,Fiogus,Fiogus2,RVDKDV,Improved,Yes,No,No,Yes,No,Diarrhea,NA,16,Yes,Yes,No,Wet.Raw,4/11/17,10/18/19,10/7/04,12.5,Responder
3JLQJX,healthy,healthy,Jambo Fontaine,Male,Domestic Longhair,Domestic Longhair,Yes,NA,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,No,Wet,10/21/19,11/1/19,NA,6.42,NA
3K54LA,recipient,after,Zach,Male,Norwegian Forest Cat,Norwegian.Siberian,No,12,4,Tabitha,Tabitha1,37H62V,Slight Improvement,No,Yes,No,Yes,No,Diarrhea,45,31,Yes,No,No,Wet,8/21/17,5/23/19,2/2/15,2.5,Responder
3LF5E2,recipient,after,Isis,Female,Domestic Shorthair,Domestic,Yes,7,NA,Scylla,Scylla1,81H86J,Improved,No,No,No,Yes,No,Diarrhea,62,NA,No,No,Yes,Dry,9/1/17,11/1/19,5/1/03,14.33,Responder
3ZG4R,recipient,before,Thelma,Female,Domestic Shorthair,Domestic,Yes,11,6,Lolita,Lolita,UCKDJU,Slight Improvement,Maybe,No,No,Yes,No,Diarrhea,NA,7,Yes,Yes,No,Wet.Raw,4/11/17,10/18/19,1/1/02,15.25,Responder
46X60G,recipient,after,Hershey,Male,Domestic Shorthair,Domestic,Yes,11,4,Fabiola,Fabiola,4EXDUK,Improved,Maybe,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,Yes,No,Wet.Raw,4/24/17,11/1/19,4/1/05,12,Responder
47A2MX,recipient,after,Miette,Female,Birman Japanese BobTail Mix,Siamese.Burmese,Yes,8,5,Tabitha,Tabitha3,ABC123,Improved,No,Yes,No,Yes,Yes,Other,20,31,Yes,Yes,Yes,Other,11/13/18,1/30/19,12/1/15,2.92,Responder
47W61S,recipient,before,Tux,Male,Domestic Shorthair,Domestic,Yes,NA,10,Fabiola,Fabiola,4EXDUK,Slight Improvement,Yes,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,No,Yes,Wet.Dry,5/22/17,9/8/21,NA,4,Responder
48F14W,recipient,before,Sula,Female,Domestic Shorthair,Domestic,Yes,12,5,Fabiola,Fabiola,4EXDUK,Slight Improvement,Maybe,Yes,No,No,Yes,Constipation,NA,NA,No,Yes,No,Raw,6/21/17,9/6/19,1/7/04,13.42,Responder
48PPPH,recipient,after,Toko,Male,Bengal,Other,Yes,10,4,Augustanor,Augustanor3.Augustanor1.Augustanor5,KS28KN. TLDR72. M4PSSS,Improved,Yes,Yes,No,Yes,No,Diarrhea,20,31,No,No,Yes,Dry,9/29/18,4/30/19,3/19/11,7.5,Responder
49T46H,recipient,before,Princess Leia,Female,Norwegian Forest cat,Norwegian.Siberian,Yes,3.31,NA,Fabiola,Fabiola,4EXDUK,Improved,No,No,No,Yes,No,Diarrhea,NA,15,No,Yes,Yes,Other,6/5/17,9/13/19,7/31/15,1.83,Responder
4EXDUK,donor,donor,Fabiola,Female,Domestic Shorthair,Domestic Shorthair,Yes,8,5,Fabiola,Fabiola,4EXDUK,donor,No,NA,No,No,No,NA,NA,NA,No,No,Yes,Dry,1/9/16,9/8/21,NA,NA,NA
4JPF3R,recipient,after,Chase,Male,Unknown,Other,Yes,8.2,4,Tabitha,Tabitha4,97FXPV,No Change,No,No,No,Yes,No,Diarrhea,14,NA,Yes,No,Yes,Wet.Dry,10/6/18,4/30/19,3/1/11,7.58,Non-Responder
4PVMC7,recipient,after,Sylvester,Male,Domestic Shorthair,Domestic,Yes,12.75,3,Tabitha,Tabitha1,37H62V,No Change,Yes,Yes,Yes,Yes,No,VomDiarr,2,NA,Yes,No,Yes,Wet.Dry,3/13/18,7/1/19,5/13/07,10.83,Non-Responder
4RBGHG,healthy,healthy,Clover ,Female,Tabby,Tabby,Yes,NA,4,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,Yes,Dry,9/24/19,10/4/19,NA,6.5,NA
4RYEA,recipient,after,Thelma,Female,Domestic Shorthair,Domestic,Yes,11,6,Lolita,Lolita,UCKDJU,Slight Improvement,Maybe,No,No,Yes,No,Diarrhea,NA,7,Yes,Yes,No,Wet.Raw,4/11/17,10/18/19,1/1/02,15.25,Responder
4UWGFX,recipient,before,Bosco,Male,Domestic Shorthair,Domestic,Yes,11.72,5,Tabitha,Tabitha1,37H62V,Slight Improvement,Yes,Yes,No,Yes,No,Diarrhea,NA,27,Yes,No,No,Wet,4/6/18,7/1/19,4/12/09,8.92,Responder
4W3V9M,healthy,healthy,Letty,Female,Unknown,Unknown,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,7/20/18,4/9/19,NA,3.25,NA
50G79I,recipient,after,Tux,Male,Domestic Shorthair,Domestic,Yes,NA,10,Fabiola,Fabiola,4EXDUK,Slight Improvement,Yes,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,No,Yes,Wet.Dry,5/22/17,11/1/19,NA,4,Responder
59D28K,recipient,after,Mintie,Female,Domestic Shorthair,Domestic,Yes,10,5,Fabiola,Fabiola,4EXDUK,Worsened,No,No,Yes,Yes,No,VomDiarr,NA,7,No,Yes,No,Raw,3/30/17,9/6/19,12/31/07,9.17,Non-Responder
59P28S,recipient,before,Leonidas,Male,Russian Blue Mix,Other,Yes,5.31,NA,Fabiola,Fabiola,4EXDUK,Improved,Yes,Yes,No,Yes,No,Diarrhea,NA,15,No,Yes,No,Raw,6/5/17,9/13/19,3/26/09,8.17,Responder
5FMLB3,healthy,healthy,Loki,Female,Domestic Shorthair,Domestic Shorthair,No,NA,NA,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,5/5/20,5/13/20,NA,3.08,NA
5LTJK2,recipient,before,Parker,Male,Domestic Shorthair,Domestic,Yes,9.5,5,Tabitha,Tabitha1,37H62V,Slight Improvement,Yes,Yes,Yes,Yes,No,VomDiarr,23,34,Yes,No,Yes,Wet.Dry,12/3/17,6/14/19,5/15/12,5.5,Responder
5SXN92,recipient,before,Riceball,Male,Domestic Shorthair,Domestic,Yes,13,6,Tabitha,Tabitha1,37H62V,Improved,Yes,No,No,No,Yes,Constipation,14,25,No,Yes,No,Raw,9/28/17,6/26/19,4/1/07,10.42,Responder
60C51U,healthy,healthy,Jasnah,Female,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,4/24/17,1/8/19,NA,4,NA
61L64S,recipient,after,Pussycat,Male,Domestic Shorthair,Domestic,Yes,14,5,Scylla,Scylla1,81H86J,Improved,No,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,Yes,Yes,Other,6/3/17,9/6/19,1/1/01,16.42,Responder
65CYWP,healthy,healthy,Fred,Female,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,Yes,Yes,Raw,5/12/20,11/23/20,NA,6.92,NA
66V19G,recipient,before,Oliver Twist,Male,Burmese,Siamese.Burmese,Yes,NA,5,Lolita,Lolita,UCKDJU,Improved,No,Yes,No,Yes,No,Diarrhea,NA,NA,No,Yes,No,Raw,5/8/17,10/23/19,NA,0.42,Responder
67K87X,recipient,after,Leonidas,Male,Russian Blue Mix,Other,Yes,5.31,NA,Fabiola,Fabiola,4EXDUK,Improved,Yes,Yes,No,Yes,No,Diarrhea,NA,15,No,Yes,No,Raw,6/5/17,9/13/19,3/26/09,8.17,Responder
6RBA2U,donor,donor,Tabitha,Female,Domestic Shorthair,Domestic Shorthair,Yes,10,5,Tabitha,Tabitha6,6RBA2U,donor,No,NA,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,2/27/19,3/11/19,7/15/15,3.58,NA
6TD887,recipient,before,Tenga,Female,Domestic Shorthair,Domestic,Yes,10.5,6,Scylla,Scylla1,81H86J,Improved,Maybe,No,No,Yes,No,Diarrhea,21,42,No,Yes,No,Raw,8/18/17,8/2/19,4/29/02,15.25,Responder
75I11I,recipient,before,Lola,Female,Ragdoll,Ragdoll,Yes,10,5,Scylla,Scylla1,81H86J,Improved,Maybe,No,Yes,Yes,No,VomDiarr,NA,25,Yes,Yes,No,Wet.Raw,7/14/17,5/23/19,5/1/09,8.17,Responder
76P12B,recipient,before,Bo,Male,Domestic Shorthair,Domestic,Yes,12,5,Fiogus,Fiogus2,RVDKDV,Improved,No,Yes,No,Yes,No,Diarrhea,NA,18,Yes,No,No,Wet,3/19/17,11/1/19,3/2/12,5,Responder
76XA47,recipient,before,Choco Merrill,Male,Domestic Shorthair,Domestic,Yes,8.5,5,Eddie,Eddie,NPJ654,Slight Improvement,Yes,No,No,Yes,No,Diarrhea,NA,31,Yes,No,Yes,Wet.Dry,5/6/19,5/10/19,4/9/15,4,Responder
77I31V,recipient,after,Audet,Female,Egyptian,Other,Yes,NA,NA,Fabiola,Fabiola,4EXDUK,Improved,Yes,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,No,Yes,Wet.Dry,5/22/17,11/1/19,NA,7,Responder
78M12V,recipient,after,Lola,Female,Ragdoll,Ragdoll,Yes,10,5,Scylla,Scylla1,81H86J,Improved,Maybe,No,Yes,Yes,No,VomDiarr,NA,25,Yes,Yes,No,Wet.Raw,8/18/17,5/23/19,5/1/09,8.25,Responder
79M45I,recipient,before,Hershey,Male,Domestic Shorthair,Domestic,Yes,11,4,Fabiola,Fabiola,4EXDUK,Improved,Maybe,Yes,No,Yes,No,Diarrhea,NA,NA,Yes,Yes,No,Wet.Raw,4/17/17,11/1/19,4/1/05,12,Responder
7JCXZT,healthy,healthy,Baloo,Male,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,Yes,Dry,10/9/19,10/23/19,NA,7.5,NA
7RJU52,recipient,after,Morrigan,Female,American Shorthair,Other,Yes,7.7,3,Tabitha,Tabitha1,37H62V,No Change,Yes,Yes,No,Yes,No,Diarrhea,NA,20,Yes,No,Yes,Wet.Dry,10/21/17,5/23/19,4/15/02,15.5,Non-Responder
7TABAC,healthy,healthy,Kali,Female,Scottish Fold,Other,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,No,Other,4/17/19,4/26/19,NA,5.58,NA
7ZY46X,healthy,healthy,Oogie,Male,Siamese,Siamese,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,No,Other,3/25/20,11/23/20,NA,8.92,NA
81H86J,donor,donor,Scylla,Female,Domestic Shorthair,Domestic Shorthair,Yes,10,5,Scylla,Scylla1,81H86J,donor,No,NA,No,No,No,NA,NA,NA,No,Yes,No,Raw,5/5/17,1/8/19,6/15/08,8.83,NA
81W13F,healthy,healthy,Kaladin,Male,Domestic Longhair,Domestic Longhair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,No,Other,4/24/17,1/8/19,NA,3.08,NA
82U49Q,recipient,after,Chandra,Male,Domestic Shorthair,Domestic,Yes,14,8,Fabiola,Fabiola,4EXDUK,Improved,No,No,Yes,No,No,Other,NA,NA,Yes,No,No,Wet,5/8/17,10/23/19,1/1/00,17.33,Responder
89Q96Z,recipient,after,Chaz,Female,Siamese,Siamese.Burmese,Yes,9.25,6,Fabiola,Fabiola,4EXDUK,Improved,Yes,No,No,No,Yes,Constipation,15,30,Yes,Yes,No,Wet.Raw,4/29/17,10/25/19,3/30/07,10,Responder
89VZ6Y,recipient,before,Spanky,Male,Domestic Shorthair,Domestic,Yes,9,4,Eddie,Eddie,NPJ654,No Change,Maybe,No,No,Yes,No,Diarrhea,4,NA,Yes,No,No,Wet,6/18/19,7/1/19,2/18/09,10.33,Non-Responder
8M4WB4,healthy,healthy,Maeve,Female,Domestic Shorthair,Domestic Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,No,Wet,5/8/20,11/23/20,NA,3.92,NA
8P3RSQ,healthy,healthy,ZsaZsa,Female,American Shorthair,American Shorthair,Yes,NA,6,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,7/17/20,12/18/20,NA,3.42,NA
8Q9FVD,recipient,before,Magdalina,Female,Domestic Longhair,Domestic,Yes,9,7,Pinky,Pinky,H43CJ3,Slight Improvement,Maybe,No,No,No,Yes,Constipation,NA,21,Yes,Yes,No,Wet.Raw,12/11/18,1/24/19,7/1/11,7.42,Responder
8QCNAE,recipient,after,Pearl,Female,Domestic Shorthair,Domestic,Yes,5.2,4,Tabitha,Tabitha1,37H62V,Improved,No,Yes,No,Yes,No,Diarrhea,NA,62,Yes,No,No,Wet,5/8/18,5/10/19,8/28/17,0.67,Responder
8Y2HMD,healthy,healthy,Miguru,Female,American Shorthair,American Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,No,Wet,9/23/19,10/4/19,NA,4.5,NA
95Q5RB,recipient,before,Pyxie,Female,Siamese,Siamese.Burmese,Yes,8,4,Scylla,Scylla1,81H86J,Slight Improvement,No,Yes,No,Yes,No,Diarrhea,3,20,Yes,Yes,No,Wet.Raw,8/28/17,10/4/19,10/1/13,3.83,Responder
97FXPV,donor,donor,Tabitha,Female,Domestic Shorthair,Domestic Shorthair,Yes,10,5,Tabitha,Tabitha4,97FXPV,donor,No,NA,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,9/25/18,3/17/19,7/15/15,3.17,NA
97TDAL,healthy,healthy,Cleo,Female,Domestic Shorthair,Domestic Shorthair,Yes,NA,4,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,Yes,Dry,12/6/17,1/8/19,NA,9.58,NA
97X70F,recipient,after,Oliver Twist,Male,Burmese,Siamese.Burmese,Yes,NA,5,Lolita,Lolita,UCKDJU,Improved,No,Yes,No,Yes,No,Diarrhea,NA,NA,No,Yes,No,Raw,5/8/17,10/23/19,NA,0.42,Responder
9B5NMR,recipient,after,Mia,Female,Bombay,Siamese.Burmese,Yes,8,5,Tabitha,Tabitha1,37H62V,No Change,No,Yes,No,Yes,No,Diarrhea,14,NA,Yes,No,Yes,Wet.Dry,9/18/18,3/25/19,9/24/14,3.92,Non-Responder
9DZZ9J,healthy,healthy,Dominic,Male,Domestic Mediumhair,Domestic Mediumhair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,No,Other,7/20/18,4/9/19,NA,3.25,NA
9F6AKX,healthy,healthy,Simon,Female,American Shorthair,American Shorthair,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,3/31/21,4/16/21,NA,8.25,NA
9KKPUS,recipient,before,Toko,Male,Bengal,Other,Yes,10,4,Augustanor,Augustanor3.Augustanor1.Augustanor5,KS28KN.TLDR72. M4PSSS,Improved,Yes,Yes,No,Yes,No,Diarrhea,20,31,No,No,Yes,Dry,5/19/18,5/2/19,3/19/11,7.17,Responder
9QVBFP,donor,donor,Augustanor Eleanor Fuchs,Female,Domestic Shorthair,Domestic Shorthair,Yes,9,5,Augustanor,Augustanor2,9QVBFP,donor,No,NA,No,No,No,NA,NA,NA,Yes,Yes,Yes,NA,12/5/18,9/8/21,1/1/12,6.92,NA
9VJ2QN,healthy,healthy,Prince,Male,Tabby,Tabby,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,Yes,Yes,NA,4/21/20,4/28/20,NA,6.5,NA
A1RN3,recipient,before,Mintie,Female,Domestic Shorthair,Domestic,Yes,10,5,Fabiola,Fabiola,4EXDUK,Worsened,No,No,Yes,Yes,No,VomDiarr,NA,7,No,Yes,No,Raw,3/31/17,10/18/19,12/31/07,9.25,Non-Responder
ABC123,donor,donor,Tabitha,Female,Domestic Shorthair,Domestic Shorthair,Yes,10,5,Tabitha,Tabitha3,ABC123,donor,No,NA,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,8/29/18,4/1/19,7/15/15,3.08,NA
AEN7G9,healthy,healthy,Bodhi,Male,American Shorthair,American Shorthair,No,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,Yes,No,Raw,9/5/18,4/30/19,NA,5.25,NA
ALLRHN,recipient,before,Kweetie,Female,Domestic Shorthair,Domestic,Yes,8,3,Tabitha,Tabitha2,TABITHA,Worsened,Yes,Yes,Yes,Yes,No,VomDiarr,31,NA,Yes,Yes,Yes,Other,7/28/18,4/9/19,6/11/05,13.08,Non-Responder
ATALXL,healthy,healthy,Trapper,Male,European Shorthair,Other,No,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,Yes,No,Yes,Wet.Dry,11/27/17,1/8/19,NA,5.83,NA
AX5WVE,recipient,after,Andy,Male,Domestic Longhair,Domestic,Yes,8,3,Tabitha,Tabitha1,37H62V,Improved,Yes,Yes,Yes,Yes,No,VomDiarr,29,21,Yes,No,Yes,Wet.Dry,6/30/18,4/26/19,6/1/03,15,Responder
AZS5BR,recipient,before,Morrigan,Female,American Shorthair,Other,Yes,7.7,3,Tabitha,Tabitha1,37H62V,No Change,Yes,Yes,No,Yes,No,Diarrhea,NA,20,Yes,No,Yes,Wet.Dry,9/22/17,7/12/19,4/15/02,15.42,Non-Responder
BAVTAK,recipient,before,Misha,Male,Domestic Shorthair,Domestic,Yes,9,4,Scylla,Scylla1,81H86J,No Change,Yes,Yes,No,Yes,No,Diarrhea,30,NA,Yes,No,Yes,Wet.Dry,12/23/17,6/26/19,11/13/01,16.08,Non-Responder
BLANUH,healthy,healthy,Spike,Male,Siamese,Siamese,Yes,NA,5,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,Yes,Dry,5/18/20,11/23/20,NA,3.92,NA
BMKJ79,recipient,before,Tabbytha,Female,Domestic Shorthair,Domestic,Yes,10,7,Tabitha,Tabitha1,37H62V,Improved,Yes,Yes,No,No,Yes,Constipation,14,31,No,Yes,No,Raw,10/7/17,5/23/19,2/17/01,16.58,Responder
BSDNQ2,recipient,after,Goldy,Male,Domestic Shorthair,Domestic,Yes,16,8,Fiogus,Fiogus1.Fiogus3.,FEVEUG. HGRAPM,Improved,Yes,Yes,Yes,Yes,No,VomDiarr,16,21,No,No,Yes,Dry,5/10/18,5/2/19,1/1/07,11.33,Responder
BU626W,recipient,before,Poe,Male,Domestic Shorthair,Domestic,Yes,10,5,Augustanor,Augustanor3.Augustanor1.Augustanor5,KS28KN. TLDR72. M4PSSS,Slight Improvement,Maybe,No,Yes,Yes,No,VomDiarr,16,31,No,No,Yes,Dry,7/22/18,4/16/19,7/4/08,10,Responder
BV9MJ9,recipient,after,Misha,Male,Domestic Shorthair,Domestic,Yes,9,4,Scylla,Scylla1,81H86J,No Change,Yes,Yes,No,Yes,No,Diarrhea,30,NA,Yes,No,Yes,Wet.Dry,2/27/18,6/6/19,11/13/01,16.25,Non-Responder
BXPFR7,healthy,healthy,Phoenix,Male,Domestic Shorthair,Domestic Shorthair,No,NA,6,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,Yes,No,Raw,10/1/19,11/15/19,NA,6.75,NA
BYLB3D,healthy,healthy,Crawford,Male,Domestic Mediumhair,Domestic Mediumhair,Yes,NA,6,Healthy,Healthy,NA,healthy,No,No,No,No,No,NA,NA,NA,No,No,No,Other,4/22/20,12/18/20,NA,6.5,NA
